tmdb_id,imdb_id,title,description,content_rating_id,rating,release_year,watchmode_id,num_reviews,aka
'tmbd_id'='823464',tt823464,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",1,6.723,2024,0,511,Godzilla x Kong: The New Empire
1011985,tt1011985,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",1,6.718,2024,0,653,Kung Fu Panda 4
693134,tt693134,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",1,8.348,2024,0,2578,Dune: Part Two
359410,tt359410,Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",1,7.074,2024,0,1318,Road House
984324,tt984324,The Wages of Fear,"When an explosion at an oil well threatens hundreds of lives, a crack team is called upon to make a deadly desert crossing with nitroglycerine in tow.",1,5.922,2024,0,122,Le salaire de la peur
935271,tt935271,After the Pandemic,"Set in a post-apocalyptic world where a global airborne pandemic has wiped out 90% of the Earth's population and only the young and immune have endured as scavengers. For Ellie and Quinn, the daily challenges to stay alive are compounded when they become hunted by the merciless Stalkers.",1,5.554,2022,0,28,After the Pandemic
1181548,tt1181548,Heart of the Hunter,A retired assassin is pulled back into action when his friend uncovers a dangerous conspiracy at the heart of the South African government.,1,5.622,2024,0,41,Heart of the Hunter
634492,tt634492,Madame Web,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",1,5.657,2024,0,1017,Madame Web
1125311,tt1125311,Imaginary,"When Jessica moves back into her childhood home with her family, her youngest stepdaughter Alice develops an eerie attachment to a stuffed bear named Chauncey she finds in the basement. Alice starts playing games with Chauncey that begin playful and become increasingly sinister. As Alice’s behavior becomes more and more concerning, Jessica intervenes only to realize Chauncey is much more than the stuffed toy bear she believed him to be.",1,6.128,2024,0,168,Imaginary
940551,tt940551,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",1,7.539,2023,0,1115,Migration
